Site	Sample depth	Age	Mg/Ca	Mg/Ca adj.	Taxa	Paleodepth	Reference	
ODP0926	0.350	0.009	1.52	1.70	Oridorsalis umbonatus	3598	LearRosenthalWright03
ODP0926	0.350	0.009	1.41	1.98	Cibicidoides wuellerstorfi	3598	LearRosenthalWright03
ODP0806	0.410	0.018	1.34	1.39	Oridorsalis umbonatus	2521	LearRosenthalWright03
ODP0806	0.410	0.018	1.16	1.45	Cibicidoides wuellerstorfi	2521	LearRosenthalWright03
ODP0926	1.160	0.030	1.48	1.66	Oridorsalis umbonatus	3598	LearRosenthalWright03
ODP0926	1.160	0.030	1.09	1.53	Cibicidoides wuellerstorfi	3598	LearRosenthalWright03
ODP1088	0.340	0.040			Cibicidoides wuellerstorfi	2082	BillupsScheiderich10
ODP0806	1.140	0.049	1.21	1.25	Oridorsalis umbonatus	2522	LearRosenthalWright03
ODP0806	1.140	0.049	1.18	1.47	Cibicidoides wuellerstorfi	2522	LearRosenthalWright03
ODP0926	1.910	0.050	1.09	1.53	Cibicidoides wuellerstorfi	3599	LearRosenthalWright03
ODP0757	0.400	0.060	2.00	2.52	Cibicidoides wuellerstorfi	1649	BillupsSchrag03
ODP0757	0.400	0.060	2.42	3.10	Cibicidoides wuellerstorfi	1649	BillupsSchrag03
ODP0757	0.400	0.060	1.87	2.33	Cibicidoides wuellerstorfi	1649	BillupsSchrag03
ODP0757	0.400	0.060	2.00	2.22	Cibicidoides mundulus	1649	BillupsSchrag03
ODP0747		0.075	1.17	1.36	Cibicidoides wuellerstorfi	1695	BillupsSchrag02
ODP1088	1.090	0.080			Cibicidoides wuellerstorfi	2082	BillupsScheiderich10
ODP0806	1.880	0.081	0.99	1.20	Cibicidoides wuellerstorfi	2522	LearRosenthalWright03
ODP0806	1.880	0.081	1.18	1.23	Oridorsalis umbonatus	2522	LearRosenthalWright03
ODP0926	3.410	0.089	0.95	1.34	Cibicidoides wuellerstorfi	3599	LearRosenthalWright03
ODP0806	2.680	0.116	1.66	1.71	Oridorsalis umbonatus	2523	LearRosenthalWright03
ODP0806	2.680	0.116	1.07	1.31	Cibicidoides wuellerstorfi	2523	LearRosenthalWright03
ODP0747		0.122	1.50	1.82	Cibicidoides wuellerstorfi	1695	BillupsSchrag02
ODP0806	3.320	0.143	1.06	1.30	Cibicidoides wuellerstorfi	2523	LearRosenthalWright03
ODP0806	3.320	0.143	1.44	1.48	Oridorsalis umbonatus	2523	LearRosenthalWright03
DSDP607	6.800	0.154	1.10	1.51	Cibicidoides wuellerstorfi	3426	SosdianRosenthal09
DSDP607	6.800	0.155	1.04	1.42	Cibicidoides wuellerstorfi	3426	SosdianRosenthal09
DSDP607	6.900	0.157	1.29	1.77	Cibicidoides wuellerstorfi	3426	SosdianRosenthal09
DSDP607	7.100	0.162	1.11	1.52	Cibicidoides wuellerstorfi	3426	SosdianRosenthal09
ODP1088	1.840	0.166	1.72	2.17	Cibicidoides wuellerstorfi	2083	BillupsScheiderich10
DSDP607	7.400	0.171	1.08	1.48	Cibicidoides wuellerstorfi	3426	SosdianRosenthal09
DSDP607	7.400	0.174	1.05	1.44	Cibicidoides wuellerstorfi	3426	SosdianRosenthal09
DSDP607	7.600	0.179	1.16	1.59	Cibicidoides wuellerstorfi	3425	SosdianRosenthal09
