Site	Sample depth	Age	Mg/Ca	Mg/Ca adj.	Taxa	Paleodepth	Reference	
ODP0926	0.350	0.009	1.52	1.70	Oridorsalis umbonatus	3598	LearRosenthalWrightEdit03
ODP0926	0.350	0.009	1.41	1.98	Cibicidoides wuellerstorfi	3598	LearRosenthalWrightEdit03
ODP0806	0.410	0.018	1.34	1.39	Oridorsalis umbonatus	2521	LearRosenthalWright03
ODP0806	0.410	0.018	1.16	1.45	Cibicidoides wuellerstorfi	2521	LearRosenthalWright03
ODP0926	1.160	0.030	1.48	1.66	Oridorsalis umbonatus	3598	LearRosenthalWrightEdit03
ODP0926	1.160	0.030	1.09	1.53	Cibicidoides wuellerstorfi	3598	LearRosenthalWrightEdit03
ODP0806	1.140	0.049	1.21	1.25	Oridorsalis umbonatus	2522	LearRosenthalWright03
ODP0806	1.140	0.049	1.18	1.47	Cibicidoides wuellerstorfi	2522	LearRosenthalWright03
ODP0926	1.910	0.050	1.09	1.53	Cibicidoides wuellerstorfi	3599	LearRosenthalWrightEdit03
ODP0806	1.880	0.081	0.99	1.20	Cibicidoides wuellerstorfi	2522	LearRosenthalWright03
ODP0806	1.880	0.081	1.18	1.23	Oridorsalis umbonatus	2522	LearRosenthalWright03
ODP0926	3.410	0.089	0.95	1.34	Cibicidoides wuellerstorfi	3599	LearRosenthalWrightEdit03
ODP0806	2.680	0.116	1.66	1.71	Oridorsalis umbonatus	2523	LearRosenthalWright03
ODP0806	2.680	0.116	1.07	1.31	Cibicidoides wuellerstorfi	2523	LearRosenthalWright03
ODP0806	3.320	0.143	1.06	1.30	Cibicidoides wuellerstorfi	2523	LearRosenthalWright03
ODP0806	3.320	0.143	1.44	1.48	Oridorsalis umbonatus	2523	LearRosenthalWright03
ODP0926	7.400	0.192	1.01	1.42	Cibicidoides wuellerstorfi	3601	LearRosenthalWrightEdit03
ODP0926	7.400	0.192	1.14	1.32	Oridorsalis umbonatus	3601	LearRosenthalWrightEdit03
ODP0806	4.820	0.208	1.05	1.28	Cibicidoides wuellerstorfi	2524	LearRosenthalWright03
ODP0806	4.820	0.208	1.26	1.31	Oridorsalis umbonatus	2524	LearRosenthalWright03
