age	O. umbonatus	O. umbonatus	5 pt moving average	5 pt  	% coarse	5 pt 	DCO3= 	DCO3= 	Temp 	BWT	d18O	5 point 	d13C	5 point 	seawater 	seawater 
(Ma)	Li/Ca	Mg/Ca	Li/Ca	moving		 moving	assuming 	assuming 	assuming 	assuming no 	C.mundulus	moving 	C.mundulus	moving 	d18O	d18O
	(umol/mol)	(mmol/mol)	(umol/mol)	average		average	DCO3= 	DCO3= 	BWT at 	saturation 	(per mille) PDB	average	(per mille) PDB	average	 (PDB) (per mille)	 (PDB) (per mille)
				Mg/Ca		% coarse	at 16.975Ma	at 16.975Ma	16.975Ma 	correction	unadjusted	d18O 	unadjusted	d13C	using 	using 
				(mmol/mol)			=0 umol/kg	=0 umol/kg	10.25	necessary 		(per mille) PDB		(per mille) PDB	corrected 	uncorrected 
							using	using		(above threshold)		unadjusted		unadjusted	BWT	BWT
							" ""corrected"" "	" ""uncorrected"" "								
							BWT	BWT								

17.162	14.7	2.58			31						1.42		0.95			
16.975	13.7	2.6			33		0	0	10.3	10.3	1.34		1.38		0.31	0.31
16.693	14.6	2.74	14.1	2.55	33	34	-5.4	-11.8	10.3	9.9	1.5	1.43	0.86	1	0.29	0.19
16.685	14.2	2.38	13.7	2.54	34	34	-10.6	-22.8	10.6	9.9	1.56	1.44	0.89	1.03	0.37	0.18
16.666	13.5	2.46	13.6	2.51	36	35	-13.8	-29.7	10.5	9.5	1.36	1.45	0.94	0.91	0.36	0.11
16.647	12.3	2.54	13.4	2.47	32	35	-18.2	-39.3	10.6	9.2	1.46	1.36	1.1	0.94	0.28	-0.06
16.591	13.3	2.41	13.2	2.49	39	35	-18.5	-39.9	10.8	9.4	1.39	1.32	0.78	0.93	0.29	-0.05
16.467	13.5	2.56	13.4	2.49	36	34	-16.4	-35.3	10.6	9.4	1.05	1.33	1.01	0.96	0.26	-0.04
16.433	13.4	2.48	13.8	2.56	31	34	-7.7	-16.6	10.6	10	1.36	1.33	0.81	0.97	0.25	0.11
16.416	14.5	2.47	13.8	2.55	33	33	-9.1	-19.6	10.6	9.9	1.37	1.32	1.09	1.06	0.24	0.08
16.406	14.4	2.9	13.7	2.48	30	32	-13.7	-29.7	10.4	9.4	1.48	1.34	1.18	1.11	0.21	-0.05
16.382	13	2.35	13.6	2.46	32	32	-16	-34.7	10.4	9.2	1.33	1.37	1.21	1.16	0.23	-0.06
16.366	13.3	2.22	13.2	2.41	32	31	-23.2	-50.1	10.5	8.7	1.16	1.38	1.25	1.2	0.27	-0.16
16.333	12.8	2.38	12.8	2.35	30	29	-30.8	-66.5	10.5	8.2	1.49	1.34	1.09	1.21	0.23	-0.33
16.317	12.5	2.22	13.2	2.45	31	29	-21.5	-46.4	10.6	9	1.42	1.33	1.28	1.21	0.26	-0.13
16.286	12.6	2.58	12.9	2.49	21	27	-22	-47.3	11	9.4	1.29	1.4	1.22	1.18	0.42	0.01
16.27	14.6	2.83	12.9	2.5	30	25	-20.8	-44.6	11	9.5	1.3	1.37	1.22	1.22	0.41	0.03
16.208	11.9	2.41	12.5	2.51	25	25	-23.9	-51.2	11.3	9.6	1.48	1.32	1.12	1.15	0.42	-0.01
16.193	12.9	2.47	12.6	2.46	18	27	-25.7	-55.3	11.1	9.2	1.37	1.25	1.28	1.08	0.28	-0.19
16.178	10.7	2.25	12.2	2.35	31	27	-37	-79.8	10.9	8.2	1.16	1.23	0.9	1.07	0.23	-0.45
16.148	13.1	2.36	12.3	2.33	30	27	-37.5	-81	10.8	8	0.92	1.17	0.88	1.04	0.14	-0.55
